geo_loc_name_country_calc,count_entity
USA,7668805
uncalculated,3638806
United Kingdom,3376839
China,2236806
Denmark,648994
Canada,483315
Japan,391900
Australia,388362
Germany,364717
France,286265
Switzerland,282302
Spain,240808
Netherlands,181019
Sweden,166621
Italy,163521
Brazil,161549
Ireland,129782
India,126373
Norway,110482
Finland,106542
Kenya,104656
New Zealand,101260
South Africa,100646
Portugal,93001
South Korea,92977
Austria,86713
Belgium,77781
Mexico,77007
Israel,71797
Russia,59779
Slovakia,52930
Estonia,50531
Czech Republic,49968
Poland,47975
Thailand,47759
Hong Kong,46730
Singapore,44666
Taiwan,41041
Chile,37815
Argentina,35594
Peru,35295
Uganda,35058
Ghana,33380
Greece,32883
Saudi Arabia,32600
Malaysia,30881
Malawi,30341
Bangladesh,29448
Viet Nam,28914
Colombia,27689
Tanzania,25362
Madagascar,24657
Ethiopia,23511
Ecuador,23149
Panama,22466
Nigeria,22082
Indonesia,20912
Turkey,19973
Hungary,16357
Costa Rica,14733
Cambodia,14565
Georgia,13800
Philippines,12753
French Polynesia,12047
Democratic Republic of the Congo,11375
Pakistan,11090
Greenland,10874
Papua New Guinea,10680
Puerto Rico,10374
Cameroon,10019
Romania,9270
Latvia,9205
Botswana,9061
Iceland,8859
Iran,8784
Croatia,8716
Burkina Faso,8514
Kazakhstan,8382
Mozambique,8325
Svalbard,8295
Slovenia,8274
Guadeloupe,7974
Ukraine,7762
Mali,7684
French Guiana,7533
Zambia,6838
Guyana,6548
Senegal,6361
Moldova,6254
Zimbabwe,6201
Egypt,6124
Nicaragua,5945
United Arab Emirates,5906
Qatar,5811
Morocco,5792
Fiji,5731
Gambia,5655
Namibia,5537
Belize,5419
Bolivia,5109
Luxembourg,5034
Tunisia,5013
Reunion,4947
Bulgaria,4845
Nepal,4836
Venezuela,4825
Mongolia,4541
Sri Lanka,4194
Myanmar,3993
Honduras,3872
New Caledonia,3817
Mauritius,3750
Uruguay,3673
Northern Mariana Islands,3564
Seychelles,3432
Lebanon,3417
Lithuania,3386
Laos,3320
Serbia,3277
Rwanda,3236
Jordan,3207
Niger,3184
Haiti,3108
Sierra Leone,3094
Central African Republic,3029
Guinea,2691
Bermuda,2664
Benin,2640
Angola,2556
Kuwait,2510
Oman,2508
Gabon,2488
Cyprus,2425
Cuba,2422
Afghanistan,2413
Sudan,2402
Trinidad and Tobago,2361
Guinea-Bissau,2296
Dominican Republic,2263
Bahamas,2134
Algeria,2009
Guam,1868
Iraq,1828
Guatemala,1710
Belarus,1690
Paraguay,1552
Palau,1448
Paracel Islands,1439
Mayotte,1438
Kiribati,1422
Tonga,1375
Solomon Islands,1363
El Salvador,1330
Vanuatu,1222
Eritrea,1199
Liberia,1157
Cape Verde,1111
Kyrgyzstan,1080
Cayman Islands,1063
Samoa,1007
Syria,981
Azerbaijan,970
American Samoa,952
Armenia,946
Bhutan,943
Uzbekistan,903
Malta,879
Sao Tome and Principe,762
Tajikistan,750
Togo,710
Djibouti,689
Jamaica,674
Comoros,668
Barbados,655
Bosnia and Herzegovina,652
Macau,644
Wallis and Futuna,643
Borneo,621
Yemen,589
Mauritania,572
Yugoslavia,553
Brunei,553
Maldives,545
Chad,514
West Bank,512
Albania,499
Equatorial Guinea,460
Suriname,445
Burundi,437
Spratly Islands,419
North Korea,394
Libya,393
Netherlands Antilles,362
Martinique,361
Turkmenistan,347
Cook Islands,330
Faroe Islands,313
Macedonia,305
Dominica,271
Europa Island,265
Saint Kitts and Nevis,262
Turks and Caicos Islands,219
Bahrain,217
Lesotho,203
Coral Sea Islands,202
Juan de Nova Island,187
Somalia,186
Saint Helena,183
Swaziland,177
Christmas Island,175
Grenada,126
Marshall Islands,114
Saint Lucia,94
Liechtenstein,87
Jersey,87
Andorra,79
Gaza Strip,60
Monaco,50
Aruba,50
Antigua and Barbuda,42
British Virgin Islands,36
Norfolk Island,33
Montserrat,28
Glorioso Islands,26
East Timor,22
Palmyra Atoll,21
Saint Vincent and the Grenadines,19
Guernsey,17
Western Sahara,14
Clipperton Island,10
Anguilla,10
Tuvalu,8
Gibraltar,7
Tromelin Island,6
Pitcairn Islands,6
Serbia and Montenegro,4
Jan Mayen,4
San Marino,4
Tokelau,3
Johnston Atoll,2
Navassa Island,1
Saint Pierre and Miquelon,1
